School Name,Free/Reduced Lunch Count
St. Croix Preparatory Academy Upper,42
Ubah Academy,
Eagle Ridge Academy Charter School,255
Eagle Ridge Academy Lower School,223
Beacon Academy,273
Prairie Seeds Elementary School Academy,256
Prairie Seeds Middle School Academy,156
Prairie Seeds High School Academy,173
TEAM Academy,84
Metro College Prep,305
SET Academy Middle,222
SET Academy Elementary,438
Metro 2 Online,122
TWIN CITIES ACADEMY,364
Rochester Math And Science Academy,
Swan River Montessori Charter School,48
LoveWorks Academy For Arts,
Yinghua Academy,151
STRIDE Academy K-8 Charter School,491
New Millennium Academy Charter School,722
Green Isle Community School,9
Birch Grove Community School,23
Northern Lights Community School,60
Minnesota Online High School,65
EdVisions Off Campus School,17
Twin Cities German Immersion Charter School,61
Midway Star Academy,
Naytahwaush Community School,
"Seven Hills Preparatory Academy, Bloomington Elementary",181
"Seven Hills Preparatory Academy, Richfield Middle School",98
"Seven Hills Preparatory Academy, Richfield Elementary",150
Spectrum High School,80
Spectrum Middle School - Grade 6,28
Spectrum Middle School - Grades 7-8,52
New Discoveries Montessori Academy,137
Southside Family Charter School,61
Laura Jeffrey Academy Charter,33
East Range Academy of Technology and Science,
International Spanish Language Academy,95
Glacial Hills Elementary,59
Stonebridge World School,206
Hiawatha College Prep - Kingfield,
Hiawatha Leadership Academy-Northrop,
Hiawatha Collegiate High School,625
Hiawatha College Prep - Northrop,
Noble Academy Elementary,254
Noble Academy Middle School,78
Lincoln International High School,
Community School of Excellence Elementary School,633
Community School of Excellence High School,172
Community School of Excellence - MS,481
Lionsgate Academy - Minnetonka,43
Lionsgate Academy AIM,19
Lionsgate Academy - Lynx Program,10
Lionsgate Academy - Shoreview,60
Aspen Academy,197
DaVinci Academy,321
Global Academy,
Cologne Academy,116
Cologne Academy Online,11
Legacy of Dr. Josie R. Johnson Montessori,43
KIPP North Star Academy,
KIPP North Star Primary,
Best Academy,
Wakanda Virtual Academy,
Rise Academy,0
Cannon River STEM School,141
Oshki Ogimaag Charter School,10
Discovery Woods,70
Parnassus Preparatory School-Grammar,354
Parnassus Preparatory School-Logic,220
Parnassus Preparatory School-Rhetoric,91
STEP ACADEMY CHARTER SCHOOL,246
STEP Academy Elementary,139
STEP Academy Kg-5th - Burnsville,89
STEP Academy 6-12 - Burnsville,19
Cornerstone Montessori Elementary,78
ROCHESTER STEM ACADEMY,96
Hennepin Schools Lower Campus,
Hennepin Schools Upper Campus,
Vermilion Country School,35
Nasha Shkola Charter School,85
Upper Mississippi Middle Academy,20
Upper Mississippi High Academy,41
Prodeo Academy Columbia Heights Primary,
Prodeo Academy Columbia Heights Elementary,179
Prodeo Academy Columbia Heights Middle,241
Prodeo Academy St. Paul Primary,
Prodeo Academy St. Paul Elementary,
Prodeo Academy St. Paul Middle,
Sejong Academy Lower School,203
Sejong Academy Upper School,93
DREAM Technical Academy,60
CHOICE Technical Academy,33
Venture Academy High School,
Venture Academy Middle School,
Northeast College Prep Charter School,
Agamim Classical Academy,112
Discovery Charter Elementary School,90
Saint Cloud Math and Science Academy Charter School,
St. Cloud Math & Science Academy Middle School,
Star of the North Academy Charter School,161
Universal Academy Elementary,347
Universal Academy Middle/High,21
Bdote Learning Center,
Art and Science Academy,75
Art & Science Academy Middle School,48
Woodbury Leadership Academy,178
Terra Nova School,13
Minnesota Excellence in Learning Academy,172
MMSA Elementary School,
MMSA Secondary School,
Success Academy - Bloomington - Elementary,
Success Academy Saint Cloud,
Success Academy - Bloomington - Middle,
Level Up Academy,73
Level Up Academy Middle School,36
Level Up K-5 Virtual Academy,12
Level Up Academy Virtual Middle School,7
Career Pathways,93
Rochester Beacon Academy,49
Twin Lakes STEM Academy,
New Century School,
New Century School Secondary Program,
Compass Academy,
North Metro Flex Academy,115
North Metro Flex Middle School,32
FIT Academy,114
FIT Academy High School,74
Athlos Academy of Saint Cloud,222
Phoenix Academy Charter School,76
Marine Area Community School,22
Skyline Math and Science Academy,168
The Journey School,
The Journey School Middle,
SciTech Academy Charter School,
Progeny Academy Charter School,79
Gateway STEM Academy Charter School,
Lirio Montessori,
Cosmos Montessori,6
Water Lily Montessori,
Three Rivers Montessori School,38
Horizon Science Academy Twin Cities,45
Great Oaks Academy School of Grammar,78
GOA School of Logic,10
Quantum STEAM Academy Elementary School,10
Quantum STEAM Academy Middle School,14
STEAM Academy Charter School,
Aurora Waasakone Community of Learners Charter School,95
Modern Montessori Charter School,49
St. Paul School of Northern Lights,62
St. Paul School of Northern Lights Secondary,10
Notre Ecole Academy,12
Exploration High School,78
Aspire Academy Elementary,
Aspire Academy Middle School,
Innovation Science and Technology Academy Elementary,
Innovation Science and Technology Academy Middle School,
Escuela Exitos,185
Gentry Academy High,16
Gentry Academy Middle,20
Aim Academy of Science and Technology,
Oak Hill Montessori Community School,17
Kalon Prep Academy,71
Creekstone Montessori,19
Rollingstone Community School,26
Bultum Academy,204
Marine Village School,0
Endazhi-Nitaawiging,76
Surad Academy,
Freshwater Education District ALC,58
White Pine Academy,
Elm Tree Academy,
Leaf River Academy,16
Early Childhood Special Education,39
Pathway to Change,
Skillbuilding Opportunities for Academic Resiliency,
Pine County Transition Program,7
Chisago County Schools' Life Work Center,9
Vision,13
Zumbro Education District,
Zumbro Area Learning Center,46
Zumbro Ed. Dist. Futures/Choice,28
Transition 2 Success,
River Valley Academy ALC,28
HVED ECSE,13
Sail Program,11
HVED Spectrum Program,10
Runestone Alternative School,35
MN River Valley ALC-Seatbased,40
West Central Area Learning Center,19
Beacon Program W Central Ed. Dist.,0
West Central Education District B-2,5
Minnesota Valley School,16
MN Valley Ed. Dist. Early Childhood,
Minnesota River School,
River Bend Area Learning Center,30
Imprints Program,14
River Bend Early Childhood Prog.,
W.O.R.K. Program,
R.I.S.E. Program,2
Raptor Program,4
Reach Programs,40
5RiversOnline Elementary,5
5RiversOnline Secondary,58
Pathways Program Grades 6-7,10
Tower View Alternative High School,28
Pathways Program Grades 8-12,25
Northland Learning Center 010,22
ISD 361 - ALC Program,11
Northland Learning Center 020,61
NLC Transition Program,20
RUM RIVER NORTH,65
Enrich GM,4
Success East,15
CARDS Program,9
SMEC ALC,57
Enrich Kingsland,
First Step Adams,8
First Step Alden,
Enrich Alden,9
First Step - Kingsland,
RESET,
Success West,
Next Step West (Alden),
Next Step East (Grand Meadow),
Pinewood Elementary - SNW,5
SNW HS DCD Program,8
SNW MS DCD Program,4
Little Mountain Elementary - SNW,
Eastview Elementary School - SNW,9
Primary DCD - SNW,
SNW - Big Lake HS Transitions,7
SNW Monti HS EBD Program,
SNW Monti MS EBD Program,
Intensive DCD - SNW,
Foundations II,
Alexander Learning Academy,27
Laura Baker SUN Program,9
CVSEC STEP,18
Oakland Education Center,29
Northern Lights Academy,8
NLA-Carlton,2
Up North Learning Center,10
Benton-Stearns Education District,14
Benton-Stearns Education Program - Pioneers,
Benton Stearns Education District 18-21 Program,9
Benton-Stearns Education District - ASD Program,9
Benton-Stearns Education District Early Childhood,38
Grafton School,
SUN Program,4
Mid State Ed Dist Steps Trans. Prog,
WIN-Elementary School,6
WIN-High School,
MSED Birth to 3,
WIN-Middle School,
